Year,Month,Anomaly,Year_num
1850,1,-0.775,1850
1850,2,-0.226,1850.0833333333333
1850,3,-0.37,1850.1666666666667
1850,4,-0.582,1850.25
1850,5,-0.621,1850.3333333333333
1850,6,-0.362,1850.4166666666667
1850,7,-0.189,1850.5
1850,8,-0.172,1850.5833333333333
1850,9,-0.435,1850.6666666666667
1850,10,-0.612,1850.75
1850,11,-0.588,1850.8333333333333
1850,12,-0.499,1850.9166666666667
1851,1,-0.183,1851
1851,2,-0.427,1851.0833333333333
1851,3,-0.563,1851.1666666666667
1851,4,-0.616,1851.25
1851,5,-0.327,1851.3333333333333
1851,6,-0.268,1851.4166666666667
1851,7,-0.225,1851.5
1851,8,-0.319,1851.5833333333333
1851,9,-0.402,1851.6666666666667
1851,10,-0.164,1851.75
1851,11,-0.392,1851.8333333333333
1851,12,-0.157,1851.9166666666667
1852,1,-0.255,1852
1852,2,-0.523,1852.0833333333333
1852,3,-0.762,1852.1666666666667
1852,4,-0.519,1852.25
1852,5,-0.154,1852.3333333333333
1852,6,-0.129,1852.4166666666667
1852,7,-0.055,1852.5
1852,8,-0.361,1852.5833333333333
1852,9,-0.315,1852.6666666666667
1852,10,-0.182,1852.75
1852,11,-0.554,1852.8333333333333
1852,12,0.07,1852.9166666666667
1853,1,-0.366,1853
1853,2,-0.378,1853.0833333333333
1853,3,-0.397,1853.1666666666667
1853,4,-0.257,1853.25
1853,5,-0.263,1853.3333333333333
1853,6,-0.188,1853.4166666666667
1853,7,0.016,1853.5
1853,8,-0.069,1853.5833333333333
1853,9,-0.412,1853.6666666666667
1853,10,-0.492,1853.75
1853,11,-0.667,1853.8333333333333
1853,12,-0.341,1853.9166666666667
1854,1,-0.574,1854
1854,2,-0.608,1854.0833333333333
1854,3,-0.273,1854.1666666666667
1854,4,-0.383,1854.25
1854,5,-0.281,1854.3333333333333
1854,6,-0.488,1854.4166666666667
1854,7,-0.194,1854.5
1854,8,-0.214,1854.5833333333333
1854,9,-0.274,1854.6666666666667
1854,10,0.099,1854.75
1854,11,-0.245,1854.8333333333333
1854,12,-0.218,1854.9166666666667
1855,1,-0.059,1855
1855,2,-0.141,1855.0833333333333
1855,3,-0.27,1855.1666666666667
1855,4,-0.067,1855.25
1855,5,-0.225,1855.3333333333333
1855,6,-0.359,1855.4166666666667
1855,7,-0.401,1855.5
1855,8,-0.266,1855.5833333333333
1855,9,-0.496,1855.6666666666667
1855,10,-0.33,1855.75
1855,11,-0.406,1855.8333333333333
1855,12,-0.567,1855.9166666666667
1856,1,-0.006,1856
1856,2,-0.424,1856.0833333333333
1856,3,-0.418,1856.1666666666667
1856,4,-0.398,1856.25
1856,5,-0.341,1856.3333333333333
1856,6,-0.151,1856.4166666666667
1856,7,-0.276,1856.5
1856,8,-0.54,1856.5833333333333
1856,9,-0.736,1856.6666666666667
1856,10,-0.699,1856.75
1856,11,-0.594,1856.8333333333333
1856,12,-0.454,1856.9166666666667
1857,1,-0.551,1857
1857,2,-0.571,1857.0833333333333
1857,3,-0.633,1857.1666666666667
1857,4,-0.808,1857.25
1857,5,-0.759,1857.3333333333333
1857,6,-0.584,1857.4166666666667
1857,7,-0.537,1857.5
1857,8,-0.478,1857.5833333333333
1857,9,-0.503,1857.6666666666667
1857,10,-0.552,1857.75
1857,11,-0.516,1857.8333333333333
1857,12,-0.247,1857.9166666666667
1858,1,-0.24,1858
1858,2,-0.516,1858.0833333333333
1858,3,-0.318,1858.1666666666667
1858,4,-0.273,1858.25
1858,5,-0.414,1858.3333333333333
1858,6,-0.285,1858.4166666666667
1858,7,-0.345,1858.5
1858,8,-0.342,1858.5833333333333
1858,9,-0.503,1858.6666666666667
1858,10,-0.301,1858.75
1858,11,-0.197,1858.8333333333333
1858,12,-0.511,1858.9166666666667
1859,1,-0.379,1859
1859,2,-0.321,1859.0833333333333
1859,3,-0.241,1859.1666666666667
1859,4,0.02,1859.25
1859,5,0.01,1859.3333333333333
1859,6,-0.135,1859.4166666666667
1859,7,-0.338,1859.5
1859,8,-0.373,1859.5833333333333
1859,9,-0.544,1859.6666666666667
1859,10,-0.264,1859.75
1859,11,-0.204,1859.8333333333333
1859,12,-0.111,1859.9166666666667
1860,1,-0.359,1860
1860,2,-0.34,1860.0833333333333
1860,3,-0.689,1860.1666666666667
1860,4,-0.26,1860.25
1860,5,-0.213,1860.3333333333333
1860,6,-0.222,1860.4166666666667
1860,7,-0.289,1860.5
1860,8,-0.231,1860.5833333333333
1860,9,-0.315,1860.6666666666667
1860,10,-0.372,1860.75
1860,11,-0.55,1860.8333333333333
1860,12,-0.882,1860.9166666666667
1861,1,-1.03,1861
1861,2,-0.686,1861.0833333333333
1861,3,-0.584,1861.1666666666667
1861,4,-0.412,1861.25
1861,5,-0.445,1861.3333333333333
1861,6,-0.388,1861.4166666666667
1861,7,-0.35,1861.5
1861,8,-0.221,1861.5833333333333
1861,9,-0.43,1861.6666666666667
1861,10,-0.493,1861.75
1861,11,-0.239,1861.8333333333333
1861,12,-0.382,1861.9166666666667
1862,1,-0.954,1862
1862,2,-0.803,1862.0833333333333
1862,3,-0.555,1862.1666666666667
1862,4,-0.559,1862.25
1862,5,-0.301,1862.3333333333333
1862,6,-0.351,1862.4166666666667
1862,7,-0.382,1862.5
1862,8,-0.532,1862.5833333333333
1862,9,-0.58,1862.6666666666667
1862,10,-0.495,1862.75
1862,11,-0.587,1862.8333333333333
1862,12,-0.91,1862.9166666666667
1863,1,-0.164,1863
1863,2,-0.139,1863.0833333333333
1863,3,-0.347,1863.1666666666667
1863,4,-0.252,1863.25
1863,5,-0.227,1863.3333333333333
1863,6,-0.373,1863.4166666666667
1863,7,-0.402,1863.5
1863,8,-0.413,1863.5833333333333
1863,9,-0.532,1863.6666666666667
1863,10,-0.514,1863.75
1863,11,-0.399,1863.8333333333333
1863,12,-0.425,1863.9166666666667
1864,1,-0.59,1864
1864,2,-0.422,1864.0833333333333
1864,3,-0.392,1864.1666666666667
1864,4,-0.398,1864.25
1864,5,-0.146,1864.3333333333333
1864,6,-0.134,1864.4166666666667
1864,7,-0.246,1864.5
1864,8,-0.382,1864.5833333333333
1864,9,-0.522,1864.6666666666667
1864,10,-0.369,1864.75
1864,11,-0.404,1864.8333333333333
1864,12,-0.454,1864.9166666666667
1865,1,0.073,1865
1865,2,-0.331,1865.0833333333333
1865,3,-0.438,1865.1666666666667
1865,4,-0.384,1865.25
1865,5,-0.283,1865.3333333333333
1865,6,-0.306,1865.4166666666667
1865,7,-0.248,1865.5
1865,8,-0.247,1865.5833333333333
1865,9,-0.248,1865.6666666666667
1865,10,-0.229,1865.75
1865,11,-0.177,1865.8333333333333
1865,12,-0.489,1865.9166666666667
1866,1,0.014,1866
1866,2,-0.387,1866.0833333333333
1866,3,-0.478,1866.1666666666667
1866,4,-0.525,1866.25
1866,5,-0.368,1866.3333333333333
1866,6,-0.291,1866.4166666666667
1866,7,0.048,1866.5
1866,8,-0.271,1866.5833333333333
1866,9,-0.329,1866.6666666666667
1866,10,-0.257,1866.75
1866,11,-0.059,1866.8333333333333
1866,12,0.077,1866.9166666666667
1867,1,-0.178,1867
1867,2,-0.362,1867.0833333333333
1867,3,-0.317,1867.1666666666667
1867,4,-0.156,1867.25
1867,5,-0.403,1867.3333333333333
1867,6,-0.236,1867.4166666666667
1867,7,-0.238,1867.5
1867,8,-0.313,1867.5833333333333
1867,9,-0.171,1867.6666666666667
