Year,Month,Anomaly,Year_num
1857,1,-1.209789,1857
1857,2,-0.1665718,1857.0833333333333
1857,3,-0.7056133,1857.1666666666667
1857,4,-1.70066,1857.25
1857,5,-1.095846,1857.3333333333333
1857,6,-0.1738782,1857.4166666666667
1857,7,-0.1281976,1857.5
1857,8,3.610226e-4,1857.5833333333333
1857,9,-0.5035271,1857.6666666666667
1857,10,-0.7365687,1857.75
1857,11,-0.7788045,1857.8333333333333
1857,12,0.40993,1857.9166666666667
1858,1,0.1274625,1858
1858,2,-1.461949,1858.0833333333333
1858,3,-0.7781655,1858.1666666666667
1858,4,-0.3755622,1858.25
1858,5,-0.5209748,1858.3333333333333
1858,6,0.06348287,1858.4166666666667
1858,7,-0.2900318,1858.5
1858,8,-0.1822914,1858.5833333333333
1858,9,-0.1241638,1858.6666666666667
1858,10,-0.2016606,1858.75
1858,11,-1.86743,1858.8333333333333
1858,12,-0.5491623,1858.9166666666667
1859,1,-0.2758988,1859
1859,2,0.03628051,1859.0833333333333
1859,3,-0.08984077,1859.1666666666667
1859,4,-0.1958474,1859.25
1859,5,-0.05445409,1859.3333333333333
1859,6,-0.07807912,1859.4166666666667
1859,7,0.1521983,1859.5
1859,8,0.04200065,1859.5833333333333
1859,9,-0.5165883,1859.6666666666667
1859,10,-0.1844932,1859.75
1859,11,-0.4244273,1859.8333333333333
1859,12,-1.215795,1859.9166666666667
1860,1,0.02412429,1860
1860,2,-1.268242,1860.0833333333333
1860,3,-1.658414,1860.1666666666667
1860,4,-0.4852,1860.25
1860,5,-0.4391697,1860.3333333333333
1860,6,-0.08361667,1860.4166666666667
1860,7,-0.1408941,1860.5
1860,8,0.0511356,1860.5833333333333
1860,9,-0.3183485,1860.6666666666667
1860,10,-0.5285383,1860.75
1860,11,-1.495569,1860.8333333333333
1860,12,-1.93136,1860.9166666666667
1861,1,-2.132883,1861
1861,2,0.09532849,1861.0833333333333
1861,3,0.1525465,1861.1666666666667
1861,4,-0.6987348,1861.25
1861,5,-1.127423,1861.3333333333333
1861,6,0.05371908,1861.4166666666667
1861,7,-0.06449027,1861.5
1861,8,0.2528984,1861.5833333333333
1861,9,-0.310425,1861.6666666666667
1861,10,-0.3259502,1861.75
1861,11,-0.6412624,1861.8333333333333
1861,12,-0.3610952,1861.9166666666667
1862,1,-1.253746,1862
1862,2,-1.360294,1862.0833333333333
1862,3,-0.3770761,1862.1666666666667
1862,4,-0.2454892,1862.25
1862,5,-0.1788649,1862.3333333333333
1862,6,-0.2434973,1862.4166666666667
1862,7,-0.4716292,1862.5
1862,8,-0.6820613,1862.5833333333333
1862,9,-0.3097262,1862.6666666666667
1862,10,-0.4934655,1862.75
1862,11,-0.9601804,1862.8333333333333
1862,12,-1.168271,1862.9166666666667
1863,1,1.106039,1863
1863,2,0.3181186,1863.0833333333333
1863,3,-0.3986784,1863.1666666666667
1863,4,-0.3925721,1863.25
1863,5,-0.3662088,1863.3333333333333
1863,6,-0.4267051,1863.4166666666667
1863,7,-0.5457222,1863.5
1863,8,-0.331755,1863.5833333333333
1863,9,-0.3420349,1863.6666666666667
1863,10,-0.67914,1863.75
1863,11,-0.3777189,1863.8333333333333
1863,12,-0.5759722,1863.9166666666667
1864,1,-1.609479,1864
1864,2,-0.7201558,1864.0833333333333
1864,3,-0.3697311,1864.1666666666667
1864,4,-0.7184991,1864.25
1864,5,-0.7626157,1864.3333333333333
1864,6,0.2370643,1864.4166666666667
1864,7,-0.2215334,1864.5
1864,8,-0.4888657,1864.5833333333333
1864,9,-0.3854384,1864.6666666666667
1864,10,-1.378656,1864.75
1864,11,-1.404144,1864.8333333333333
1864,12,-1.423453,1864.9166666666667
1865,1,-0.1472387,1865
1865,2,-1.284754,1865.0833333333333
1865,3,-1.461778,1865.1666666666667
1865,4,-0.2681974,1865.25
1865,5,-0.2859544,1865.3333333333333
1865,6,-0.2074818,1865.4166666666667
1865,7,0.0946022,1865.5
1865,8,-0.3849309,1865.5833333333333
1865,9,0.1834233,1865.6666666666667
1865,10,-0.4761894,1865.75
1865,11,0.0451944,1865.8333333333333
1865,12,-0.4797537,1865.9166666666667
1866,1,0.6478739,1866
1866,2,-0.5743992,1866.0833333333333
1866,3,-0.7880123,1866.1666666666667
1866,4,-0.2214381,1866.25
1866,5,-0.7996761,1866.3333333333333
1866,6,-0.00624636,1866.4166666666667
1866,7,-0.05296867,1866.5
1866,8,-0.497095,1866.5833333333333
1866,9,-0.05940344,1866.6666666666667
1866,10,-0.9115517,1866.75
1866,11,-0.8147027,1866.8333333333333
1866,12,-0.5285968,1866.9166666666667
1867,1,-0.5630869,1867
1867,2,0.3962682,1867.0833333333333
1867,3,-1.892724,1867.1666666666667
1867,4,-0.6341207,1867.25
1867,5,-1.256014,1867.3333333333333
1867,6,-0.333628,1867.4166666666667
1867,7,-0.3970946,1867.5
1867,8,-0.3114523,1867.5833333333333
1867,9,-0.1684656,1867.6666666666667
1867,10,-0.1498881,1867.75
1867,11,-0.6400185,1867.8333333333333
1867,12,-1.154957,1867.9166666666667
1868,1,-1.295465,1868
1868,2,-0.941556,1868.0833333333333
1868,3,-0.3323878,1868.1666666666667
1868,4,-0.8360723,1868.25
1868,5,0.119045,1868.3333333333333
1868,6,0.06609897,1868.4166666666667
1868,7,0.3149786,1868.5
1868,8,0.07277452,1868.5833333333333
1868,9,-0.4204358,1868.6666666666667
1868,10,-0.2113644,1868.75
1868,11,-1.158523,1868.8333333333333
1868,12,-0.3055161,1868.9166666666667
1869,1,-0.2003285,1869
1869,2,0.735121,1869.0833333333333
1869,3,-1.132403,1869.1666666666667
1869,4,-0.423837,1869.25
1869,5,-0.4507647,1869.3333333333333
1869,6,-0.483357,1869.4166666666667
1869,7,-0.4085931,1869.5
1869,8,0.1480222,1869.5833333333333
1869,9,-0.06446936,1869.6666666666667
1869,10,-0.9735256,1869.75
1869,11,-0.7133693,1869.8333333333333
1869,12,-0.5521662,1869.9166666666667
1870,1,-0.01032865,1870
1870,2,-1.176598,1870.0833333333333
1870,3,-1.082397,1870.1666666666667
1870,4,-0.5399178,1870.25
1870,5,-0.1470297,1870.3333333333333
1870,6,-0.03829787,1870.4166666666667
1870,7,0.00487527,1870.5
1870,8,-0.747237,1870.5833333333333
1870,9,-0.3101067,1870.6666666666667
1870,10,-0.571574,1870.75
1870,11,-0.1315804,1870.8333333333333
1870,12,-1.779738,1870.9166666666667
1871,1,-1.208334,1871
1871,2,-1.240967,1871.0833333333333
1871,3,-0.209546,1871.1666666666667
1871,4,-0.4084934,1871.25
1871,5,-0.6993663,1871.3333333333333
1871,6,-0.4863923,1871.4166666666667
1871,7,0.02943053,1871.5
1871,8,0.09552709,1871.5833333333333
1871,9,-0.602364,1871.6666666666667
1871,10,-0.6710227,1871.75
1871,11,-1.242074,1871.8333333333333
1871,12,-1.286642,1871.9166666666667
1872,1,-0.1666499,1872
1872,2,-0.6317704,1872.0833333333333
1872,3,-0.7241784,1872.1666666666667
1872,4,-0.1522509,1872.25
1872,5,-0.07565808,1872.3333333333333
1872,6,-0.07839418,1872.4166666666667
1872,7,-0.1562398,1872.5
1872,8,-0.4202311,1872.5833333333333
1872,9,-0.2828607,1872.6666666666667
1872,10,-0.146731,1872.75
1872,11,-0.5169092,1872.8333333333333
1872,12,-0.8489586,1872.9166666666667
1873,1,-0.1574006,1873
1873,2,-0.7027945,1873.0833333333333
1873,3,-0.5781842,1873.1666666666667
1873,4,-1.006545,1873.25
1873,5,-0.5893462,1873.3333333333333
1873,6,0.2528952,1873.4166666666667
1873,7,-0.1630005,1873.5
1873,8,0.08598267,1873.5833333333333
1873,9,-0.3275796,1873.6666666666667
1873,10,-0.4831716,1873.75
1873,11,-0.9791359,1873.8333333333333
1873,12,-0.08965529,1873.9166666666667
1874,1,0.101643,1874
1874,2,-0.4737656,1874.0833333333333
1874,3,-1.079866,1874.1666666666667
1874,4,-0.6667771,1874.25
1874,5,-0.9266336,1874.3333333333333
1874,6,-0.4107037,1874.4166666666667
1874,7,-0.2323213,1874.5
1874,8,-0.3387712,1874.5833333333333
1874,9,-0.03191122,1874.6666666666667
1874,10,-0.3016727,1874.75
1874,11,-0.7866006,1874.8333333333333
1874,12,-0.4415427,1874.9166666666667
1875,1,-1.12553,1875
1875,2,-1.458946,1875.0833333333333
1875,3,-1.492714,1875.1666666666667
1875,4,-0.9988087,1875.25
1875,5,-0.2496951,1875.3333333333333
1875,6,-0.2223697,1875.4166666666667
1875,7,-0.2226045,1875.5
1875,8,-0.2449862,1875.5833333333333
1875,9,-0.5710494,1875.6666666666667
1875,10,-0.8035305,1875.75
1875,11,-1.242608,1875.8333333333333
1875,12,-1.060627,1875.9166666666667
1876,1,-0.3071482,1876
1876,2,-0.3614576,1876.0833333333333
1876,3,-0.4700168,1876.1666666666667
1876,4,-0.3615718,1876.25
1876,5,-0.7293445,1876.3333333333333
1876,6,-0.0840767,1876.4166666666667
1876,7,0.1436189,1876.5
