Year,Month,Anomaly,Year_num
1850,1,-0.6745644,1850
1850,2,-0.333416,1850.0833333333333
1850,3,-0.5913227,1850.1666666666667
1850,4,-0.58872119999999994,1850.25
1850,5,-0.5081851,1850.3333333333333
1850,6,-0.3442401,1850.4166666666667
1850,7,-0.1597902,1850.5
1850,8,-0.20765430000000001,1850.5833333333333
1850,9,-0.3847069,1850.6666666666667
1850,10,-0.5331265,1850.75
1850,11,-0.2825075,1850.8333333333333
1850,12,-0.4036704,1850.9166666666667
1851,1,-0.2007394,1851
1851,2,-0.4693323,1851.0833333333333
1851,3,-0.6460531,1851.1666666666667
1851,4,-0.5421326,1851.25
1851,5,-0.1976227,1851.3333333333333
1851,6,-0.1367036,1851.4166666666667
1851,7,-0.0968156,1851.5
1851,8,-0.1017537,1851.5833333333333
1851,9,-0.09124488,1851.6666666666667
1851,10,-0.00836263,1851.75
1851,11,-0.08189084,1851.8333333333333
1851,12,-0.2275462,1851.9166666666667
1852,1,-0.3750957,1852
1852,2,-0.4767267,1852.0833333333333
1852,3,-0.5597683,1852.1666666666667
1852,4,-0.5853704,1852.25
1852,5,-0.1274127,1852.3333333333333
1852,6,-0.08365913,1852.4166666666667
1852,7,0.005029385,1852.5
1852,8,-0.135587,1852.5833333333333
1852,9,-0.00190167,1852.6666666666667
1852,10,-0.172434,1852.75
1852,11,-0.3052479,1852.8333333333333
1852,12,0.0653853,1852.9166666666667
1853,1,-0.2325985,1853
1853,2,-0.4037227,1853.0833333333333
1853,3,-0.2804217,1853.1666666666667
1853,4,-0.3863199,1853.25
1853,5,-0.2678886,1853.3333333333333
1853,6,-0.1423762,1853.4166666666667
1853,7,-0.08344058,1853.5
1853,8,-0.0566471,1853.5833333333333
1853,9,-0.2502504,1853.6666666666667
1853,10,-0.391768,1853.75
1853,11,-0.4114205,1853.8333333333333
1853,12,-0.3373991,1853.9166666666667
1854,1,-0.3813734,1854
1854,2,-0.3610941,1854.0833333333333
1854,3,-0.2426996,1854.1666666666667
1854,4,-0.3338324,1854.25
1854,5,-0.2907924,1854.3333333333333
1854,6,-0.2990269,1854.4166666666667
1854,7,-0.178642,1854.5
