Year,Month,Anomaly,Year_num
1850,1,-0.35138,1850
1850,2,-0.34437,1850.0833333333333
1850,3,-0.58001,1850.1666666666667
1850,4,-0.34222,1850.25
1850,5,-0.25093,1850.3333333333333
1850,6,-0.25486,1850.4166666666667
1850,7,-0.20818,1850.5
1850,8,-0.31233,1850.5833333333333
1850,9,-0.34318,1850.6666666666667
1850,10,-0.3599,1850.75
1850,11,-0.137,1850.8333333333333
1850,12,-0.2295,1850.9166666666667
1851,1,-0.27433,1851
1851,2,-0.29522,1851.0833333333333
1851,3,-0.25086,1851.1666666666667
1851,4,-0.42784,1851.25
1851,5,-0.28696,1851.3333333333333
1851,6,-0.27375,1851.4166666666667
1851,7,-0.17794,1851.5
1851,8,-0.239,1851.5833333333333
1851,9,-0.10052,1851.6666666666667
1851,10,-0.0808,1851.75
1851,11,0.08083,1851.8333333333333
1851,12,0.00602,1851.9166666666667
1852,1,-0.31058,1852
1852,2,-0.43518,1852.0833333333333
1852,3,-0.35715,1852.1666666666667
1852,4,-0.36138,1852.25
1852,5,-0.2173,1852.3333333333333
1852,6,-0.04449,1852.4166666666667
1852,7,0.03457,1852.5
1852,8,-0.22614,1852.5833333333333
1852,9,-0.07795,1852.6666666666667
1852,10,-0.1141,1852.75
1852,11,-0.0983,1852.8333333333333
1852,12,0.00734,1852.9166666666667
1853,1,-0.20432,1853
1853,2,-0.18183,1853.0833333333333
1853,3,-0.0639,1853.1666666666667
1853,4,-0.21128,1853.25
1853,5,-0.21797,1853.3333333333333
1853,6,-0.13847,1853.4166666666667
1853,7,-0.0932,1853.5
1853,8,-0.19805,1853.5833333333333
1853,9,-0.34993,1853.6666666666667
1853,10,-0.3836,1853.75
1853,11,-0.1818,1853.8333333333333
1853,12,-0.3072,1853.9166666666667
1854,1,-0.22292,1854
1854,2,-0.26708,1854.0833333333333
1854,3,-0.22377,1854.1666666666667
1854,4,-0.26744,1854.25
1854,5,-0.26123,1854.3333333333333
1854,6,-0.17915,1854.4166666666667
1854,7,-0.33817,1854.5
1854,8,-0.21838,1854.5833333333333
1854,9,-0.13339,1854.6666666666667
1854,10,-0.2803,1854.75
1854,11,-0.3446,1854.8333333333333
1854,12,-0.4846,1854.9166666666667
1855,1,-0.17154,1855
1855,2,-0.18817,1855.0833333333333
1855,3,-0.19031,1855.1666666666667
1855,4,-0.30872,1855.25
1855,5,-0.43554,1855.3333333333333
1855,6,-0.32945,1855.4166666666667
1855,7,-0.31505,1855.5
1855,8,-0.17222,1855.5833333333333
1855,9,-0.27445,1855.6666666666667
1855,10,-0.1808,1855.75
1855,11,-0.1825,1855.8333333333333
1855,12,-0.1519,1855.9166666666667
1856,1,-0.11203,1856
1856,2,-0.23448,1856.0833333333333
1856,3,-0.19498,1856.1666666666667
1856,4,-0.34289,1856.25
1856,5,-0.11416,1856.3333333333333
1856,6,-0.31457,1856.4166666666667
1856,7,-0.37882,1856.5
1856,8,-0.27994,1856.5833333333333
1856,9,-0.32717,1856.6666666666667
1856,10,-0.3562,1856.75
1856,11,-0.4526,1856.8333333333333
1856,12,-0.5561,1856.9166666666667
1857,1,-0.4235,1857
1857,2,-0.37269,1857.0833333333333
1857,3,-0.54736,1857.1666666666667
1857,4,-0.47706,1857.25
1857,5,-0.43257,1857.3333333333333
1857,6,-0.33721,1857.4166666666667
1857,7,-0.52979,1857.5
1857,8,-0.37461,1857.5833333333333
1857,9,-0.32948,1857.6666666666667
1857,10,-0.4146,1857.75
1857,11,-0.5094,1857.8333333333333
1857,12,-0.3806,1857.9166666666667
1858,1,-0.45996,1858
1858,2,-0.40697,1858.0833333333333
1858,3,-0.43079,1858.1666666666667
1858,4,-0.53212,1858.25
1858,5,-0.63264,1858.3333333333333
1858,6,-0.55077,1858.4166666666667
1858,7,-0.34396,1858.5
1858,8,-0.26664,1858.5833333333333
1858,9,-0.30347,1858.6666666666667
1858,10,-0.2216,1858.75
1858,11,-0.2756,1858.8333333333333
1858,12,-0.405,1858.9166666666667
1859,1,-0.36709,1859
1859,2,-0.31828,1859.0833333333333
1859,3,-0.35083,1859.1666666666667
1859,4,-0.16511,1859.25
1859,5,-0.22342,1859.3333333333333
1859,6,-0.22587,1859.4166666666667
1859,7,-0.36582,1859.5
1859,8,-0.2069,1859.5833333333333
1859,9,-0.44393,1859.6666666666667
1859,10,-0.2603,1859.75
1859,11,-0.2835,1859.8333333333333
1859,12,-0.1364,1859.9166666666667
1860,1,-0.17846,1860
1860,2,-0.23669,1860.0833333333333
1860,3,-0.20016,1860.1666666666667
1860,4,-0.21936,1860.25
1860,5,-0.28384,1860.3333333333333
1860,6,-0.28902,1860.4166666666667
1860,7,-0.26059,1860.5
1860,8,-0.26757,1860.5833333333333
1860,9,-0.12231,1860.6666666666667
1860,10,-0.2784,1860.75
1860,11,-0.2648,1860.8333333333333
1860,12,-0.241,1860.9166666666667
1861,1,-0.30068,1861
1861,2,-0.56882,1861.0833333333333
1861,3,-0.59085,1861.1666666666667
