Year,Month,Anomaly,Year_num
1850,1,-0.788,1850
1850,2,-0.191,1850.0833333333333
1850,3,-0.441,1850.1666666666667
1850,4,-0.568,1850.25
1850,5,-0.515,1850.3333333333333
1850,6,-0.288,1850.4166666666667
1850,7,-0.047,1850.5
1850,8,-0.012,1850.5833333333333
1850,9,-0.303,1850.6666666666667
1850,10,-0.634,1850.75
1850,11,-0.473,1850.8333333333333
1850,12,-0.423,1850.9166666666667
1851,1,-0.168,1851
1851,2,-0.428,1851.0833333333333
1851,3,-0.728,1851.1666666666667
1851,4,-0.693,1851.25
1851,5,-0.197,1851.3333333333333
1851,6,-0.075,1851.4166666666667
1851,7,-0.056,1851.5
1851,8,-0.068,1851.5833333333333
1851,9,-0.065,1851.6666666666667
1851,10,-0.059,1851.75
1851,11,-0.115,1851.8333333333333
1851,12,-0.059,1851.9166666666667
1852,1,-0.493,1852
1852,2,-0.49,1852.0833333333333
1852,3,-0.674,1852.1666666666667
1852,4,-0.701,1852.25
1852,5,-0.112,1852.3333333333333
1852,6,0.002,1852.4166666666667
1852,7,0.035,1852.5
1852,8,-0.198,1852.5833333333333
1852,9,-0.102,1852.6666666666667
1852,10,-0.166,1852.75
1852,11,-0.404,1852.8333333333333
1852,12,0.17,1852.9166666666667
1853,1,-0.27,1853
1853,2,-0.386,1853.0833333333333
1853,3,-0.484,1853.1666666666667
1853,4,-0.448,1853.25
1853,5,-0.247,1853.3333333333333
1853,6,-0.181,1853.4166666666667
1853,7,0.08,1853.5
1853,8,-0.042,1853.5833333333333
1853,9,-0.345,1853.6666666666667
1853,10,-0.462,1853.75
1853,11,-0.61,1853.8333333333333
1853,12,-0.465,1853.9166666666667
1854,1,-0.504,1854
1854,2,-0.462,1854.0833333333333
1854,3,-0.242,1854.1666666666667
1854,4,-0.335,1854.25
1854,5,-0.398,1854.3333333333333
1854,6,-0.376,1854.4166666666667
1854,7,-0.153,1854.5
1854,8,-0.043,1854.5833333333333
1854,9,-0.035,1854.6666666666667
1854,10,0.011,1854.75
1854,11,-0.317,1854.8333333333333
1854,12,-0.303,1854.9166666666667
1855,1,-0.096,1855
1855,2,-0.41,1855.0833333333333
1855,3,-0.384,1855.1666666666667
1855,4,-0.071,1855.25
1855,5,-0.239,1855.3333333333333
1855,6,-0.15,1855.4166666666667
1855,7,-0.241,1855.5
1855,8,-0.117,1855.5833333333333
1855,9,-0.383,1855.6666666666667
1855,10,-0.237,1855.75
1855,11,-0.291,1855.8333333333333
1855,12,-0.499,1855.9166666666667
1856,1,-0.175,1856
1856,2,-0.522,1856.0833333333333
1856,3,-0.55,1856.1666666666667
1856,4,-0.393,1856.25
1856,5,-0.268,1856.3333333333333
1856,6,-0.132,1856.4166666666667
1856,7,-0.249,1856.5
1856,8,-0.291,1856.5833333333333
1856,9,-0.546,1856.6666666666667
1856,10,-0.483,1856.75
1856,11,-0.614,1856.8333333333333
1856,12,-0.459,1856.9166666666667
1857,1,-0.707,1857
1857,2,-0.422,1857.0833333333333
1857,3,-0.531,1857.1666666666667
1857,4,-0.81,1857.25
1857,5,-0.741,1857.3333333333333
1857,6,-0.28,1857.4166666666667
1857,7,-0.424,1857.5
1857,8,-0.204,1857.5833333333333
1857,9,-0.349,1857.6666666666667
1857,10,-0.455,1857.75
1857,11,-0.636,1857.8333333333333
1857,12,-0.28,1857.9166666666667
1858,1,-0.416,1858
1858,2,-0.575,1858.0833333333333
1858,3,-0.538,1858.1666666666667
1858,4,-0.339,1858.25
1858,5,-0.556,1858.3333333333333
1858,6,-0.466,1858.4166666666667
1858,7,-0.319,1858.5
1858,8,-0.316,1858.5833333333333
1858,9,-0.388,1858.6666666666667
1858,10,-0.242,1858.75
1858,11,-0.513,1858.8333333333333
1858,12,-0.403,1858.9166666666667
1859,1,-0.55,1859
1859,2,-0.458,1859.0833333333333
1859,3,-0.456,1859.1666666666667
1859,4,-0.118,1859.25
1859,5,-0.251,1859.3333333333333
1859,6,-0.246,1859.4166666666667
1859,7,-0.368,1859.5
1859,8,-0.231,1859.5833333333333
1859,9,-0.674,1859.6666666666667
1859,10,-0.271,1859.75
1859,11,-0.342,1859.8333333333333
1859,12,-0.353,1859.9166666666667
1860,1,-0.466,1860
1860,2,-0.524,1860.0833333333333
1860,3,-0.989,1860.1666666666667
1860,4,-0.474,1860.25
1860,5,-0.365,1860.3333333333333
1860,6,-0.349,1860.4166666666667
1860,7,-0.122,1860.5
1860,8,-0.154,1860.5833333333333
1860,9,-0.14,1860.6666666666667
1860,10,-0.277,1860.75
1860,11,-0.633,1860.8333333333333
1860,12,-0.982,1860.9166666666667
1861,1,-1.128,1861
1861,2,-0.818,1861.0833333333333
1861,3,-0.548,1861.1666666666667
1861,4,-0.306,1861.25
1861,5,-0.63,1861.3333333333333
1861,6,-0.297,1861.4166666666667
1861,7,-0.405,1861.5
1861,8,-0.061,1861.5833333333333
1861,9,-0.31,1861.6666666666667
1861,10,-0.456,1861.75
1861,11,-0.51,1861.8333333333333
1861,12,-0.424,1861.9166666666667
1862,1,-0.934,1862
1862,2,-0.658,1862.0833333333333
1862,3,-0.6,1862.1666666666667
1862,4,-0.594,1862.25
1862,5,-0.449,1862.3333333333333
1862,6,-0.31,1862.4166666666667
1862,7,-0.332,1862.5
1862,8,-0.607,1862.5833333333333
1862,9,-0.381,1862.6666666666667
1862,10,-0.471,1862.75
1862,11,-0.655,1862.8333333333333
1862,12,-1.054,1862.9166666666667
1863,1,-0.328,1863
1863,2,-0.371,1863.0833333333333
1863,3,-0.538,1863.1666666666667
1863,4,-0.352,1863.25
1863,5,-0.359,1863.3333333333333
1863,6,-0.426,1863.4166666666667
1863,7,-0.268,1863.5
1863,8,-0.354,1863.5833333333333
1863,9,-0.317,1863.6666666666667
1863,10,-0.46,1863.75
1863,11,-0.475,1863.8333333333333
1863,12,-0.426,1863.9166666666667
1864,1,-0.894,1864
1864,2,-0.652,1864.0833333333333
1864,3,-0.524,1864.1666666666667
1864,4,-0.585,1864.25
1864,5,-0.297,1864.3333333333333
1864,6,-0.157,1864.4166666666667
1864,7,-0.234,1864.5
1864,8,-0.337,1864.5833333333333
1864,9,-0.469,1864.6666666666667
1864,10,-0.61,1864.75
1864,11,-0.356,1864.8333333333333
1864,12,-0.633,1864.9166666666667
1865,1,-0.235,1865
1865,2,-0.48,1865.0833333333333
1865,3,-0.727,1865.1666666666667
1865,4,-0.47,1865.25
1865,5,-0.354,1865.3333333333333
1865,6,-0.216,1865.4166666666667
1865,7,-0.258,1865.5
1865,8,-0.227,1865.5833333333333
