Year,Temperature,Uncertainty
1960,0.22,NA
1961,0.22,NA
1962,0.24,NA
1963,0.23,NA
1964,0.24,NA
1965,0.22,NA
1966,0.24,NA
1967,0.25,NA
1968,0.24,NA
1969,0.24,NA
1970,0.25,NA
1971,0.26,NA
1972,0.26,NA
1973,0.27,NA
1974,0.29,NA
1975,0.3,NA
1976,0.31,NA
1977,0.33,NA
1978,0.35,NA
1979,0.38,NA
1980,0.4,NA
1981,0.43,NA
1982,0.41,NA
1983,0.43,NA
1984,0.44,NA
1985,0.45,NA
1986,0.48,NA
1987,0.49,NA
1988,0.51,NA
1989,0.53,NA
1990,0.55,NA
1991,0.58,NA
1992,0.62,NA
1993,0.64,NA
1994,0.68,NA
1995,0.72,NA
1996,0.73,NA
1997,0.75,NA
1998,0.78,NA
1999,0.79,NA
2000,0.8,NA
2001,0.82,NA
2002,0.85,NA
2003,0.88,NA
2004,0.9,NA
2005,0.91,NA
2006,0.94,NA
2007,0.95,NA
2008,0.97,NA
2009,0.98,NA
2010,0.99,NA
2011,1.01,NA
2012,1.02,NA
2013,1.05,NA
2014,1.06,NA
2015,1.1,NA
2016,1.13,NA
2017,1.17,NA
2018,1.21,NA
2019,1.24,NA
2020,1.27,NA
2021,1.28,NA
2022,1.31,NA
