Year,Temperature,Uncertainty
1950,0.19,NA
1951,0.17,NA
1952,0.17,NA
1953,0.16,NA
1954,0.18,NA
1955,0.2,NA
1956,0.19,NA
1957,0.2,NA
1958,0.21,NA
1959,0.21,NA
1960,0.21,NA
1961,0.2,NA
1962,0.21,NA
1963,0.23,NA
1964,0.22,NA
1965,0.21,NA
1966,0.22,NA
1967,0.23,NA
1968,0.24,NA
1969,0.25,NA
1970,0.25,NA
1971,0.27,NA
1972,0.27,NA
1973,0.28,NA
1974,0.3,NA
1975,0.32,NA
1976,0.33,NA
1977,0.34,NA
1978,0.36,NA
1979,0.34,NA
1980,0.36,NA
1981,0.39,NA
1982,0.43,NA
1983,0.44,NA
1984,0.44,NA
1985,0.46,NA
1986,0.47,NA
1987,0.5,NA
1988,0.53,NA
1989,0.55,NA
1990,0.55,NA
1991,0.57,NA
1992,0.6,NA
1993,0.62,NA
1994,0.63,NA
1995,0.65,NA
1996,0.66,NA
1997,0.69,NA
1998,0.71,NA
1999,0.74,NA
2000,0.75,NA
2001,0.77,NA
2002,0.8,NA
2003,0.83,NA
2004,0.84,NA
2005,0.85,NA
2006,0.88,NA
2007,0.89,NA
2008,0.92,NA
2009,0.94,NA
2010,0.94,NA
2011,0.99,NA
2012,1.02,NA
2013,1.04,NA
2014,1.04,NA
2015,1.06,NA
2016,1.08,NA
2017,1.13,NA
2018,1.17,NA
2019,1.18,NA
2020,1.21,NA
2021,1.24,NA
2022,1.26,NA
