Year,Temperature,Uncertainty
1950,0.24,NA
1951,0.24,NA
1952,0.25,NA
1953,0.27,NA
1954,0.28,NA
1955,0.28,NA
1956,0.28,NA
1957,0.28,NA
1958,0.28,NA
1959,0.28,NA
1960,0.27,NA
1961,0.27,NA
1962,0.27,NA
1963,0.26,NA
1964,0.24,NA
1965,0.23,NA
1966,0.23,NA
1967,0.23,NA
1968,0.23,NA
1969,0.24,NA
1970,0.25,NA
1971,0.24,NA
1972,0.24,NA
1973,0.24,NA
1974,0.24,NA
1975,0.24,NA
1976,0.25,NA
1977,0.25,NA
1978,0.26,NA
1979,0.26,NA
1980,0.28,NA
1981,0.29,NA
1982,0.3,NA
1983,0.31,NA
1984,0.33,NA
1985,0.34,NA
1986,0.35,NA
1987,0.37,NA
1988,0.39,NA
1989,0.4,NA
1990,0.43,NA
1991,0.45,NA
1992,0.46,NA
1993,0.47,NA
1994,0.49,NA
1995,0.51,NA
1996,0.54,NA
1997,0.55,NA
1998,0.58,NA
1999,0.59,NA
2000,0.6,NA
2001,0.61,NA
2002,0.63,NA
2003,0.65,NA
2004,0.67,NA
2005,0.7,NA
2006,0.72,NA
2007,0.74,NA
2008,0.75,NA
2009,0.77,NA
2010,0.78,NA
2011,0.79,NA
2012,0.81,NA
2013,0.83,NA
2014,0.86,NA
2015,0.88,NA
2016,0.91,NA
2017,0.93,NA
2018,0.94,NA
2019,0.97,NA
2020,1,NA
2021,1.01,NA
2022,1.03,NA
